Start Date,End Date,Product name,British Columbia,Alberta,Saskatchewan,Manitoba,Ontario,Quebec,Maritimes (1),Newfoundland and Labrador,Canada (2)
2022-04-24,2022-05-21,Pork Roast,10.42,9.9,10.47,10.26,9.23,7.04,6.02,6.01,8.24
2022-05-22,2022-06-18,Pork Roast,11.2,11.89,12.31,12.73,9.43,8.15,8.6,9.25,9.73
2022-06-19,2022-07-16,Pork Roast,9.71,9.93,10.13,10.58,9.86,8.65,7.39,6.82,9.16
2022-07-17,2022-08-13,Pork Roast,10.7,10.43,10.46,10.75,10.02,8.06,10.23,11.15,9.62
2022-08-14,2022-09-10,Pork Roast,10.88,10.72,10.53,10.92,10.3,5.25,6.29,6.72,7.37
2022-09-11,2022-10-08,Pork Roast,11.95,10.31,9.85,10.11,10.64,7.72,7.55,7.22,9.22
2022-10-09,2022-11-05,Pork Roast,10.78,8.87,9.4,9.22,9.76,5.91,7.16,7.08,7.55
2022-11-06,2022-12-03,Pork Roast,8.33,9.04,9.38,9.47,8.94,8.31,6.94,6.68,8.39
2022-12-04,2022-12-31,Pork Roast,8.75,9.62,10.36,10.25,10.97,6.98,7.72,7.68,8.78
2022-01-02,2022-01-29,Pork Tenderloin,13.36,12.58,11.78,11.82,13.13,11.24,11.66,11.91,11.97
2022-01-30,2022-02-26,Pork Tenderloin,14.14,13.28,12.31,12.21,13.36,11.72,11.85,11.45,12.39
2022-02-27,2022-03-26,Pork Tenderloin,11.48,11.11,10.96,10.73,11.44,11.8,12.52,11.75,11.54
2022-03-27,2022-04-23,Pork Tenderloin,12.18,12.07,11.67,11.77,11.18,12.27,12.89,11.47,11.88
2022-04-24,2022-05-21,Pork Tenderloin,11.66,10.96,11.08,10.77,11.69,11.53,9.52,9.46,11.28
2022-05-22,2022-06-18,Pork Tenderloin,14.76,13.12,12.42,12.77,12.34,12.58,12.95,13.31,12.77
2022-06-19,2022-07-16,Pork Tenderloin,13.89,12.77,11.98,12.28,11.56,12.78,12.62,11.63,12.43
2022-07-17,2022-08-13,Pork Tenderloin,13.18,12.6,12.06,11.98,13.45,12.78,12.78,12.77,12.88
2022-08-14,2022-09-10,Pork Tenderloin,15.53,13.04,12.16,12.67,12.89,10.13,13.67,12.5,11.43
2022-09-11,2022-10-08,Pork Tenderloin,14.62,12.64,12.4,12.3,10.97,13.84,13.03,12.43,12.62
2022-10-09,2022-11-05,Pork Tenderloin,12.79,12.47,12.15,12.07,10.08,10.63,12.79,12.04,10.87
2022-11-06,2022-12-03,Pork Tenderloin,11.63,10.25,9.07,9.11,9.93,11,10.29,11.1,10.53
2022-12-04,2022-12-31,Pork Tenderloin,15.06,14.56,12.49,12.71,9.38,13.19,14.06,12.07,11.75
2022-01-02,2022-01-29,Pork Chops,11.52,10.73,10.81,10.52,9.53,10.48,8.83,8.64,10.01
2022-01-30,2022-02-26,Pork Chops,11.95,10.9,10.93,10.71,9.66,7.65,8.28,8.78,9.3
2022-02-27,2022-03-26,Pork Chops,10.7,9.85,10.11,9.82,8.16,8.22,7.9,7.62,8.66
2022-03-27,2022-04-23,Pork Chops,12.04,11.35,11.09,10.97,11.08,8.63,8.03,8.69,10.12
2022-04-24,2022-05-21,Pork Chops,11.39,11.17,10.8,10.95,8.67,10.04,8.47,9.2,9.58
2022-05-22,2022-06-18,Pork Chops,11.72,11.62,11,11.15,9.84,8.51,9.5,8.03,9.78
2022-06-19,2022-07-16,Pork Chops,11.26,10.83,10.99,11.03,9.92,10.22,9.16,8.68,10.21
2022-07-17,2022-08-13,Pork Chops,11.6,11.07,10.47,10.61,9.43,9.69,8.37,7.82,9.75
2022-08-14,2022-09-10,Pork Chops,11.32,10.95,10.83,10.84,9.01,9.21,8.6,8.42,9.54
2022-09-11,2022-10-08,Pork Chops,11.75,10.92,10.66,10.69,9.19,8.87,9.27,8.74,9.63
2022-10-09,2022-11-05,Pork Chops,11.27,10.9,10.65,10.59,9.65,11.06,9.39,8.56,10.28
2022-11-06,2022-12-03,Pork Chops,11.89,11.2,10.4,10.55,8.74,7.75,8.16,7.43,9.02
2022-12-04,2022-12-31,Pork Chops,11.53,10.55,10.21,10.21,9.82,10.62,10.6,8.63,10.31
2022-01-02,2022-01-29,Pork Grinds,10.53,10.13,9.83,9.72,8.45,9.35,11.42,10.21,9.35
2022-01-30,2022-02-26,Pork Grinds,10.48,9.91,9.81,9.71,9.82,7.99,11.43,10.3,9.08
2022-02-27,2022-03-26,Pork Grinds,10.28,9.98,9.54,9.47,10.07,8.01,11.26,9.95,9.08
2022-03-27,2022-04-23,Pork Grinds,10.46,10.08,9.9,9.74,10.07,6.99,11.31,9.54,8.48
2022-04-24,2022-05-21,Pork Grinds,10.38,10.01,9.68,9.47,10.05,8.13,11.47,9.57,9.24
2022-05-22,2022-06-18,Pork Grinds,10.45,10.15,9.91,9.8,10.04,8.23,11.11,9.63,9.32
2022-06-19,2022-07-16,Pork Grinds,10.21,9.98,9.72,9.57,10.04,7.38,11.08,9.5,8.72
2022-07-17,2022-08-13,Pork Grinds,10.54,10,9.79,9.69,9.94,6.29,11.07,9.88,8
2022-08-14,2022-09-10,Pork Grinds,10.72,10.08,9.72,9.64,10.15,8.16,11.19,9.92,9.28
2022-09-11,2022-10-08,Pork Grinds,10.74,10.1,9.82,9.71,9.92,9.2,10.63,9.92,9.73
2022-10-09,2022-11-05,Pork Grinds,10.69,10.01,9.68,9.6,10.12,6.9,11.82,10.31,8.17
2022-11-06,2022-12-03,Pork Grinds,10.95,10.28,9.45,9.47,9.43,7.41,10.15,9.32,8.48
2022-12-04,2022-12-31,Pork Grinds,11.09,10.39,10.03,10,10.38,6.85,10.58,10.11,8.03
